kind,en,ja
menu,Offense: Ball,攻撃: ボール
menu,Offense: Breath,攻撃: ブレス
menu,Offense: Other,攻撃: その他
menu,Healing/Recovery,治癒と回復
menu,Detection/Knowledge,感知と知識
menu,Teleportations,テレポート
menu,Utility,便利な力
menu,Other,その他
# --- 第 33 回: 耐性の名（resist.c の `_resist_map[]`。設計 §8.55 の #54）。
# `_get_res_name()` が `<color:%c>%s</color>` へ差し込む**前**に引く。
# 14 本は属性の名として既に上に在るので、足りないのはこの 4 本だけ。
res,Electricity,電撃
res,Blindness,盲目
res,Fear,恐怖
res,Teleportation,テレポート

# 呪文の系統の見出し（青魔法と憑依の「どの系統の呪文を唱えますか？」。#55）。
# 7 本のうち Breath / Ball / Summon / Utility は別の表の名として既に上に在るので、
# 新しいのはこの 3 本だけ。
group,Bolt/Beam,ボルト/ビーム
group,Offense,攻撃
group,Defense,防御
